compound_id,smiles_raw,provenance_file,provenance_sheet,provenance_row,flag_asterisk,flag_smiles_o3_changed
Example 1,CC(C)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,5,False,
Example 2,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,6,False,
Example 3,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(S(C)(=O)=O)C=CC=C4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,7,False,
Example 4,COC1=CC=CC(OC)=C1C1=NC=C2/C=N\N(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)C2=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,8,False,
Example 5,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,9,False,
Example 6,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,10,False,
Example 7,CCS(=O)(=O)C1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,11,False,
Example 8,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C=CN=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,12,False,
Example 9,CC(C)C1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,13,False,
Example 10,CC(C)C1=C(C2=NC3=C(C=N2)/C=N\N3CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)C=CC=C1F,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,14,False,
Example 11,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,15,False,
Example 12,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,16,False,
Example 13,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=CN(C)C(C(F)(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,17,False,
Example 14,N1=C2C(C=NN2CC2=CC=C(C3N(C=C(C(F)(F)F)N=3)*)C=C2)=CN=C1C1C(=NC=NC=1OC)C1CC1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,18,True,True
Example 15,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CCC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,19,False,
Example 16,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CCC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,20,False,
Example 17,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C(F)=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,21,True,True
Example 18,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1F,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,22,False,
Example 19,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C(F)=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,23,False,
Example 20,COC1=C(C2=N/C=C3\C=NN(CC4=C(F)C=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,24,True,True
Example 21,CSC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)C3=N2)C(C)=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,25,False,
Example 22,CC1=C2\C=NN(CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)\C2=N/C(C2=C(C(C)C)C=CC=C2)=N\1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,26,False,
Example 23,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C/N=C(C4=C(C(C)C)C=CC=C4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,27,False,
Example 24,CC(C)C1=C(C2=N/C=C3/C=NN(C(C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,28,False,
Example 25,CC1=NN(CC2=CC=C(C3=NC(C(F)(F)F)=CN3C)C=C2)/C2=N\C(C3=C(C(C)C)C=CC=C3)=N/C=C\12,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,29,False,
Example 26,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CC=C4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,30,False,
Example 27,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,31,False,
Example 28,COC1=C2/C=N\N(CC3=CC=C(N4N=C(CF)C=C4C)C=C3)C2=NC(C2=C(OC)N=CN=C2C2CC2)=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,32,False,
Example 29,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,33,False,
Example 30,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(CF)C=C5C5=CC=CO5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,34,False,
Example 31,COC1=CC(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)=CC=C1N1N=C(CF)C=C1C,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,35,False,
Example 32,CC1=CC(C(F)F)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C(C)C)N=CC=C4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,36,False,
Example 33,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,37,True,True
Example 34,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(C5=CN(C(C)C)C(C(F)(F)F)=N5)C=C4)C3=N2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,38,False,
Example 35,COC1=CC(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)=CC=C1C1=CN(C)C(C(F)(F)F)=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,39,False,
Example 36,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NN(C)C(C(F)F)=N5)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,40,False,
Example 37,COC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,41,False,
Example 38,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5SC)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,42,False,
Example 39,CCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(CF)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,43,False,
Example 40,CC(C)OC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,44,False,
Example 41,CN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC5CCOC5)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,45,False,
Example 42,COCCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(F)=CN5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,46,True,True
Example 43,COCCOC1=C(C2=N/C=C3\C=NN(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,47,False,
Example 44,CC1=CC(CF)=NN1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(C)C=NN4C(C)C)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,48,True,True
Example 45,CC1=CC(C(F)(F)F)=NN1C1=CC=C(CN2N=CC3=C\N=C(C4=C(C(C)C)N=CN=C4C)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,49,False,
Example 46,CSC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,50,False,
Example 47,COCCOC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,51,False,
Example 48,COC1=C(C2=NC=C3/C=N\N(CC4=CC=C(N5N=C(C(F)(F)F)C=C5C)C=C4)C3=N2)C(C)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Example 1 ~ Example 217,52,False,
